,id_discente,sexo,data_nascimento,raca,estado_origem,cidade_origem,estado,municipio,bairro,nivel_ensino,forma_ingresso,ano_ingresso,periodo_ingresso,cotista,id_curso
4601,69f2f9516075e062a1d0dd9f87150781,M,17_09_1994,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CAPIM_MACIO,GRADUACAO,SISU,2013,1.0,F,92127264.0
4620,1630e0c5132b91a552fcb0548fe35fa3,M,22_08_1989,PARDO,RIO_GRANDE_DO_NORTE,NATAL,CEARA,FORTALEZA,DEMOCRITO_ROCHA,GRADUACAO,SISU,2013,1.0,F,92127264.0
4637,6329177feadc36379c16a21b9fa1dc02,M,03_09_1985,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NISIA_FLORESTA,PIRANGI_DO_SUL,GRADUACAO,SISU,2013,1.0,T,92127264.0
4654,66a0832686e8fb8807cfe81e4161385e,M,07_11_1995,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PITIMBU,GRADUACAO,SISU,2013,1.0,F,92127264.0
4680,74e66058dffacb61b3b71458b7ca6a2d,M,14_02_1996,PARDO,RONDONIA,PORTO_VELHO,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_ESPERANCA,GRADUACAO,SISU,2013,1.0,F,92127264.0
4695,c3c32e08c75d4369cf25ac2a20435867,M,28_01_1995,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,SISU,2013,1.0,F,92127264.0
4721,558a99f7021ed5f39846cae454c86665,M,17_09_1992,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CIDADE_DA_ESPERANCA,GRADUACAO,SISU,2013,1.0,F,92127264.0
4745,7ffca85710530f980d80ad24ffdd80de,M,28_07_1994,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,EMAUS,GRADUACAO,SISU,2013,1.0,F,92127264.0
4769,2d546606bfbf2094137a4dcfacf5e12f,M,25_07_1982,INDIGENO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PITIMBU,GRADUACAO,SISU,2013,1.0,F,92127264.0
4783,59d9aee9a3b15f0b735e28fe4a692a8e,M,13_04_1994,BRANCO,DISTRITO_FEDERAL,BRASILIA,RIO_GRANDE_DO_NORTE,NATAL,PONTA_NEGRA,GRADUACAO,SISU,2013,1.0,F,92127264.0
4809,070c69591c64900aef10d9a31a90c095,M,24_09_1194,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,ROCAS,GRADUACAO,SISU,2013,1.0,F,92127264.0
4823,145440d461db004f5513e19a5ce783cd,M,02_09_1983,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NOSSA_SENHORA_DE_NAZARE,GRADUACAO,SISU,2013,1.0,F,92127264.0
4843,a338b7daea0f42b1b36239972fdc84a6,F,03_12_1968,PARDO,RIO_GRANDE_DO_NORTE,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,NOSSA_SENHORA_DE_NAZARE,GRADUACAO,SISU,2013,1.0,F,92127264.0
