,id_discente,sexo,data_nascimento,raca,estado_origem,cidade_origem,estado,municipio,bairro,nivel_ensino,forma_ingresso,ano_ingresso,periodo_ingresso,cotista,id_turma,id_curso,unidade,nota,reposicao,faltas_unidade,media_final,numero_total_faltas,descricao
5087,97f43e2dc31d79073af85501a0e41c46,M,28-08-1995,Pardo,Rio Grande do Norte,NÃO INFORMADO,Rio Grande do Norte,NATAL,LAGOA NOVA,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,2.0,2.8,t,0.0,6.1,6.0,APROVADO
5109,d2ebea0c1ebded5adcf2e6eb2d919b9a,M,24-05-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,NOVA PARNAMIRIM,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,8.0,f,0.0,6.6,2.0,APROVADO POR NOTA
5134,5625c20186d9be50433092f3269db96a,F,25-03-1997,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,COTOVELO (DISTRITO LITORAL),GRADUAÇÃO,SiSU,2014,1.0,f,1217921,92127264.0,1.0,8.7,f,0.0,7.5,0.0,APROVADO
5156,01b3d4f105782c866736965d2a7b7022,M,05-08-1996,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,PIRANGI DO NORTE,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,,,,,,,CANCELADO
5168,f7de8ce4b3fefa33efc5c3e0d45b5e51,M,14-08-1992,Branco,Ignorado/exterior,NATAL,Rio Grande do Norte,MACAÍBA,LOTEAMENTO VENEZA,GRADUAÇÃO,SiSU,2014,1.0,f,1217921,92127264.0,1.0,7.9,f,0.0,6.9,6.0,APROVADO POR NOTA
5180,5bf0f8963be465bd3f9d1aa78ca9ce1e,M,08-03-1992,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,LAGOA NOVA,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,,,,,,,EXCLUIDA
5194,94a4e2adb12c18557230095046025c52,M,17-11-1992,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,LAGOA NOVA,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,6.3,f,0.0,5.7,8.0,APROVADO POR NOTA
5210,52a3502de65d64546ec195cf3a52efdd,M,01-03-1996,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,SÃO PAULO DO POTENGI,ASSUNÇAO,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,7.0,f,0.0,7.9,2.0,APROVADO
5237,15ce11b7e21c47c687f7008c288e12b5,M,27-02-1994,Branco,Rio Grande do Norte,PARELHAS,Rio Grande do Norte,PARNAMIRIM,NOVA PARNAMIRIM,GRADUAÇÃO,SiSU,2014,1.0,f,1217921,92127264.0,1.0,6.0,f,0.0,5.3,7.0,APROVADO POR NOTA
5253,3797d070ee3c0d06f8ca9e32d970dc0e,M,28-09-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,SÃO GONÇALO DO AMARANTE,COQUEIROS,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,7.4,f,0.0,7.9,2.0,APROVADO
5269,a682f2beb315b67438ce66dcadd140e8,M,27-08-1996,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,COHABINAL,GRADUAÇÃO,SiSU,2014,1.0,t,1217922,92127264.0,1.0,5.6,f,0.0,6.6,4.0,APROVADO POR NOTA
5288,e8276e72614c5828286b43d50704d1a0,M,17-02-1996,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,MACAÍBA,CONJUNTO IPE,GRADUAÇÃO,SiSU,2014,1.0,t,1217922,92127264.0,1.0,6.1,f,0.0,7.0,0.0,APROVADO
5304,a6828dd2dd4b8ff21c763f6d1f6f5e04,M,01-10-1994,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,NOVA PARNAMIRIM,GRADUAÇÃO,SiSU,2014,1.0,t,1217922,92127264.0,1.0,7.0,f,0.0,8.0,2.0,APROVADO
5322,ee67c654a285629b1e24292c717dc9e5,M,27-01-1995,Pardo,Rio Grande do Norte,CURRAIS NOVOS,Rio Grande do Norte,CURRAIS NOVOS,PARQUE DOURADO,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,6.1,f,0.0,7.5,2.0,APROVADO
5341,742296fb962be2ad96a2bd79adf865e4,M,17-12-1985,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,NOVA PARNAMIRIM,GRADUAÇÃO,SiSU,2014,1.0,f,1217921,92127264.0,,,,,,,EXCLUIDA
5355,6d42cc9c6a322c7518b6e14c0cb943c4,M,26-06-1996,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,CANDELÁRIA,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,6.0,f,0.0,5.1,4.0,APROVADO POR NOTA
5377,89b53089b0c8dab4d2fa091419a98502,M,01-02-1985,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,CAPIM MACIO,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,0.0,f,0.0,0.0,28.0,REPROVADO POR MÉDIA E POR FALTAS
5395,a0a89fb407d12afefeb585fbd0232e80,M,21-01-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,LAGOA NOVA,GRADUAÇÃO,SiSU,2014,1.0,t,1217922,92127264.0,1.0,6.5,f,0.0,7.5,0.0,APROVADO
5413,073dc96afed003942587f667a8dd97f2,M,08-08-1991,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,SÃO TOMÉ,SÃO SEBASTIÃO,GRADUAÇÃO,SiSU,2014,1.0,t,1217921,92127264.0,1.0,0.0,f,0.0,0.0,28.0,REPROVADO POR MÉDIA E POR FALTAS
5431,a4aa5cbcc579bd9b2ce70c7590ee4b04,M,20-12-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,DIX-SEPT ROSADO,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,,,,,,,EXCLUIDA
5457,6c83122aa660478ba9d5f911f4499c29,M,04-05-1986,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,COHABINAL,GRADUAÇÃO,SiSU,2014,1.0,t,1217921,92127264.0,1.0,0.0,f,0.0,0.0,30.0,REPROVADO POR MÉDIA E POR FALTAS
5475,aad31258ef0f8e30cd3d4eea691a6c18,M,22-03-1990,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,NOVA PARNAMIRIM,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,8.0,f,0.0,8.1,0.0,APROVADO
5491,1e30378e6116ffd948012d513a448944,F,25-05-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,LAGOA NOVA,GRADUAÇÃO,SiSU,2014,1.0,t,1217922,92127264.0,1.0,5.9,f,0.0,6.4,2.0,APROVADO POR NOTA
5515,3c4fd9f72313b05960103161988ac441,M,17-07-1985,Pardo,Rio Grande do Norte,MOSSORÓ,Rio Grande do Norte,NATAL,LAGOA NOVA,GRADUAÇÃO,SiSU,2014,1.0,f,1220150,92127264.0,,,,,,,CANCELADO
5532,851fe8913fe7e4e3bb131ee4a393bcb6,M,01-06-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,Nova Descoberta,GRADUAÇÃO,SiSU,2014,1.0,t,1217922,92127264.0,1.0,6.7,f,0.0,5.9,2.0,APROVADO POR NOTA
5557,08f0ed62082e3a3455c675630a546cfe,M,02-06-1995,Pardo,Rio Grande do Norte,NÃO INFORMADO,Rio Grande do Norte,CARNAÚBA DOS DANTAS,CENTRO,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,6.6,f,0.0,5.5,8.0,APROVADO POR NOTA
5582,906fb61db8d4c543d4f9e8d746e250b0,M,08-12-1993,Pardo,Rio Grande do Norte,NATAL,,,,GRADUAÇÃO,SiSU,2014,1.0,t,1217922,92127264.0,1.0,7.4,f,0.0,8.1,0.0,APROVADO
5598,628dadde86d5e3e671e6702a5ccba509,M,14-01-1996,Pardo,Rio Grande do Norte,MOSSORÓ,Rio Grande do Norte,NATAL,PONTA NEGRA,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,6.5,f,0.0,5.4,10.0,CANCELADO
5620,29ede342f7bbb71620bf3aba8caa9b5c,M,24-07-1996,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,SÃO TOMÉ,CENTRO,GRADUAÇÃO,SiSU,2014,1.0,t,1217921,92127264.0,,,,,,,CANCELADO
5632,52575c6e0954fa8ff0b0eccdd54e56fc,M,04-01-1988,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,IGAPÓ,GRADUAÇÃO,SiSU,2014,1.0,t,1217921,92127264.0,1.0,5.6,f,0.0,7.4,2.0,APROVADO
5648,47f433897cb69ee2468df16dedaa44f3,M,16-10-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,SANTA CRUZ,MIGUEL PEREIRA MAIA,GRADUAÇÃO,SiSU,2014,1.0,t,1217922,92127264.0,1.0,6.5,f,0.0,6.6,6.0,APROVADO POR NOTA
