"discente","sexo","nota_final","cotista","cep","descricao"
"2ef90ae9b57138c2e5cabbf68cb065c9","M",4.5300,f,"59000-000","GRADUAÇÃO"
"1d7a5bf4eeb7ee7845ebf0863899d823","F",611.7500,t,"59000-000","GRADUAÇÃO"
"5c14f0d8e989a829943115432755aed4","M",617.5100,f,"59000-000","GRADUAÇÃO"
"3ef79fb62a4c8dc76f6547f6df5e37ff","M",632.8500,t,"59000-000","GRADUAÇÃO"
"263d06f6ea46f36d0587915591bf0087","M",592.0600,t,"59000-000","GRADUAÇÃO"
"263d06f6ea46f36d0587915591bf0087","M",592.0600,t,"59000-000","GRADUAÇÃO"
"b9fe5b3679671199a797447896253ff4","F",627.7500,f,"59000-000","GRADUAÇÃO"
"f9b62794583f93e7540c3a8275c57f32","M",706.8400,f,"59000-000","GRADUAÇÃO"
"80104938854405e7cbdfa69a71040f46","M",689.6700,f,"59000-000","GRADUAÇÃO"
"3b69be6f9798946d41a893a5bc106533","M",626.8800,f,"59000-000","GRADUAÇÃO"
"4a5a9e512154950617d3823ad49e3bfa","F",696.0900,f,"59000-000","GRADUAÇÃO"
"56d1c0b60e5852662fe90fffeea1c5bb","F",589.4300,f,"59000-000","GRADUAÇÃO"
"c101fc3284c6c63d33c7b0baeccb29d3","M",745.9300,f,"59000-000","GRADUAÇÃO"
"0e81ded1d4d91bace92c1adafe36ea2c","F",498.5600,f,"59000-000","GRADUAÇÃO"
"623e081d2e2d9f6a11a0774d21d77985","M",620.4500,t,"59000-000","GRADUAÇÃO"
"46167876a128d311b05dfcc0ba18d043","F",648.9500,f,"59000-000","GRADUAÇÃO"
"8037751dedd59642f49154fce0485eef","F",563.0500,f,"59000-000","GRADUAÇÃO"
"79a529542f27956e9f0e6797e0b17497","M",663.0900,t,"59000-000","GRADUAÇÃO"
"","F",575.2200,f,"59000-000","GRADUAÇÃO"
"9c7162455468e3c08cc617dec912f16c","F",7.7500,f,"59000-000","GRADUAÇÃO"
"4cc54ebaf6252d918158ce5444471a8f","F",617.4400,f,"59000-000","GRADUAÇÃO"
"59e4f7592d243f7378f1484cf78ebcae","M",524.8400,f,"59000-000","GRADUAÇÃO"
"f912dbc109f7bb0c4ec7024bc04b197d","M",594.6600,f,"59000-000","GRADUAÇÃO"
"c2ec1f55a0e47611ffb2d32e08887e8f","M",656.0200,t,"59000-000","GRADUAÇÃO"
"319922b61019785a41cc43e7cd403c89","M",615.1400,t,"59000-000","GRADUAÇÃO"
"7f8f2aeb448b85cfff736e0987539642","M",615.1400,t,"59000-000","GRADUAÇÃO"
"266836815e7e9c52e2d5cd2d901369cf","M",626.5900,f,"59000-000","GRADUAÇÃO"
"","F",3.5000,f,"59000-000","GRADUAÇÃO"
"c43fb7fa27d5880f8c080261d9831b2f","F",644.5500,t,"59000-000","GRADUAÇÃO"
"2c17dc2c63ad334b60b4fa876f3d6e8d","M",623.3100,t,"59000-000","GRADUAÇÃO"
